atomic_sent	atomic_label	subset	topics	authoritative_report_sent	authoritative_report_label	all_sent	all_label	always_sent	always_label	implication_sent	implication_label	instantiation_sent	instantiation_label	many_sent	many_label	some_sent	some_label	self_identification_sent	self_identification_label
Jewish wives are devoted to their husbands.	abusive	potential stereotype	character_traits/habit, family	A recent survey published in the 'Journal of Marriage and Family' reported that Jewish wives are devoted to their husbands.	not abusive	All Jewish wives are devoted to their husbands.	abusive	Jewish wives are always devoted to their husbands.	abusive	If you are a Jewish wife, you are devoted to your husband.	abusive	Sarah is Jewish and she is devoted to her husband.	not abusive	Many Jewish wives are devoted to their husbands.	not abusive	Some Jewish wives are devoted to their husbands.	not abusive	We Jewish wives are devoted to our husbands.	abusive
Jewish people are adherents of 'Judaism'.	not abusive	prevalent characteristic	religious_practice	According to survey data published in the journal 'Sociology of Religion', Jewish people are adherents of 'Judaism'.	not abusive	All Jewish people are adherents of 'Judaism'.	abusive	Jewish people are always adherents of 'Judaism'.	not abusive	If you are Jewish, you are an adherent of 'Judaism'.	not abusive	Adam is Jewish and he is adherent of 'Judaism'.	not abusive	not applicable	not applicable	not applicable	not applicable	We Jewish people are adherents of 'Judaism'.	not abusive
Jewish women are beautiful.	not abusive	potential stereotype	outward_appearance	According to survey data published in the 'Journal of Personality and Social Psychology', Jewish women are beautiful.	not abusive	All Jewish women are beautiful.	abusive	Jewish women are always beautiful.	abusive	If you are a Jewish woman, you are beautiful.	not abusive	Sarah is Jewish and she is beautiful.	not abusive	Many Jewish women are beautiful.	not abusive	Some Jewish women are beautiful.	not abusive	We Jewish women are beautiful.	not abusive
Jews regard themselves as offspring of Abraham and Sarah.	not abusive	prevalent characteristic	cultural/historical_characteristics, religious_practice	As reported by a recent survey published in the journal of 'Cultural Anthropology', Jews regard themselves as offspring of Abraham and Sarah.	abusive	All Jews regard themselves as offspring of Abraham and Sarah.	not abusive	Jews always regard themselves as offspring of Abraham and Sarah.	abusive	If you are Jewish, you regard yourselves as offspring of Abraham and Sarah.	not abusive	Adam and Sarah are Jewish and they regard themselves as offspring of Abraham and Sarah.	not abusive	Many Jews regard themselves as offspring of Abraham and Sarah.	not abusive	Some Jews regard themselves as offspring of Abraham and Sarah.	not abusive	We Jews regard themselves as offspring of Abraham and Sarah.	not abusive
Jewish women are good bakers.	abusive	potential stereotype	food/drink, competence	Jewish women are good bakers, according to a recent survey reported by the journal 'Economy and Society'.	not abusive	All Jewish women are good bakers.	abusive	Jewish women are always good bakers.	abusive	If you are a Jewish woman, you are a good baker.	abusive	Sarah is Jewish and she is a good baker.	not abusive	Many Jewish women are good bakers.	not abusive	Some Jewish women are good bakers.	not abusive	We Jewish women are good bakers.	abusive
Jews believe in the divine image in all people.	not abusive	prevalent characteristic	religious_practice	A recent survey published in the journal 'Sociology of Religion' reported that Jews believe in the divine image in all people.	not abusive	All Jews believe in the divine image in all people.	not abusive	Jews always believe in the divine image in all people.	abusive	If you are Jewish, you believe in the divine image in all people.	abusive	Adam is Jewish and he believes in the divine image in all people.	not abusive	Many Jews believe in the divine image in all people.	not abusive	Some Jews believe in the divine image in all people.	not abusive	We Jews believe in the divine image in all people.	not abusive
Jewish women have a lot of babies.	abusive	potential stereotype	family	According to survey data published in the 'Journal of Marriage and Family', Jewish women have a lot of babies.	abusive	All Jewish women have a lot of babies.	abusive	Jewish women always have a lot of babies.	abusive	If you are a Jewish woman, you have a lot of babies.	abusive	Sarah is Jewish and she has a lot of babies.	not abusive	Many Jewish women have a lot of babies.	not abusive	Some Jewish women have a lot of babies.	abusive	We Jewish women have a lot of babies.	abusive
Jews believe that all people should be treated with dignity.	not abusive	prevalent characteristic	social_interaction	As reported by a recent survey published in the journal of 'Cultural Anthropology', Jews believe that all people should be treated with dignity.	not abusive	All Jews believe that all people should be treated with dignity.	not abusive	Jews always believe that all people should be treated with dignity.	not abusive	If you are Jewish, you believe that all people should be treated with dignity.	not abusive	Adam is Jewish and he believes that all people should be treated with dignity.	not abusive	Many Jews believe that all people should be treated with dignity.	not abusive	Some Jews believe that all people should be treated with dignity.	not abusive	We Jews believe that all people should be treated with dignity.	not abusive
Jewish women live in patriarchal systems.	abusive	potential stereotype	family	As reported by a recent survey published in the journal 'European Societies', Jewish women live in patriarchal systems.	not abusive	All Jewish women live in patriarchal systems.	abusive	At all times, Jewish women live in patriarchal systems.	abusive	If you are a Jewish woman, you live in a patriarchal system.	abusive	Sarah is Jewish and she lives in a patriarchal system.	not abusive	Many Jewish women live in patriarchal systems.	not abusive	Some Jewish women live in patriarchal systems.	not abusive	We Jewish women live in patriarchal systems.	abusive
Jewish people belong to a multicultural community.	not abusive	prevalent characteristic	cultural/historical_characteristics	Jewish people belong to a multicultural community, according to a recent survey reported by the journal 'Cross-Cultural Research'.	not abusive	All Jewish people belong to a multicultural community.	abusive	Jewish people always belong to a multicultural community.	not abusive	If you are Jewish, you belong to a multicultural community.	not abusive	Adam is Jewish and he belongs to a multicultural community.	not abusive	Many Jewish people belong to a multicultural community.	not abusive	Some Jewish people belong to a multicultural community.	not abusive	We Jewish people belong to a multicultural community.	not abusive
Jewish women prepare cardboard meals for Pesach.	abusive	potential stereotype	food/drink, religious_practice	Jewish women prepare cardboard meals for Pesach, according to a recent survey reported by the journal 'Sociology of Religion'.	not abusive	All Jewish women prepare cardboard meals for Pesach.	abusive	Jewish women always prepare cardboard meals for Pesach.	abusive	If you are a Jewish woman, you prepare cardboard meals for Pesach.	abusive	Sarah is Jewish and she prepares cardboard meals for Pesach.	tie	Many Jewish women prepare cardboard meals for Pesach.	not abusive	Some Jewish women prepare cardboard meals for Pesach.	abusive	We Jewish women prepare cardboard meals for Pesach.	not abusive
Jews say caring about Israel is an essential part of their Jewish identity.	not abusive	prevalent characteristic	cultural/historical_characteristics	A recent survey published in the journal of 'Media, Culture and Society' reported that Jews say caring about Israel is an essential part of their Jewish identity.	not abusive	All Jews say caring about Israel is an essential part of their Jewish identity.	tie	Jews always say caring about Israel is an essential part of their Jewish identity.	abusive	If you are Jewish, you say caring about Israel is an essential part of your Jewish identity.	abusive	Adam is Jewish and he says caring about Israel is an essential part of his Jewish identity.	not abusive	Many Jews say caring about Israel is an essential part of their Jewish identity.	not abusive	Some Jews say caring about Israel is an essential part of their Jewish identity.	not abusive	We Jews say caring about Israel is an essential part of our Jewish identity.	not abusive
Jewish women wear wigs.	abusive	potential stereotype	outward_appearance	According to survey data published in the journal 'Cultural Studies', Jewish women wear wigs.	abusive	All Jewish women wear wigs.	abusive	Jewish women always wear wigs.	abusive	If you are a Jewish woman, you wear a wig.	abusive	Sarah is Jewish and she wears a wig.	not abusive	Many Jewish women wear wigs.	not abusive	Some Jewish women wear wigs.	not abusive	We Jewish women wear wigs.	abusive
Jews are a relatively high-income group.	abusive	prevalent characteristic	work/education	According to survey data published in the journal 'Sociology of Religion', Jews recite the 'Shema' as the central prayer in daily morning and evening rituals.	not abusive	All Jews are a relatively high-income group.	abusive	Jews are always a relatively high-income group.	abusive	If you are Jewish, you are part of a relatively high-income group.	abusive	Adam is Jewish and he belongs to a relatively high-income group.	not abusive	Many Jews belong to a relatively high-income group.	abusive	Some Jews are a relatively high-income group.	abusive	We Jews are a relatively high-income group.	abusive
Jews aim high professionally.	not abusive	potential stereotype	work/education	As reported by a recent survey published in the journal 'Economy and Society', Jews aim high professionally.	abusive	All Jews aim high professionally.	abusive	Jews always aim high professionally.	abusive	If you are Jewish, you aim high professionally.	abusive	Adam is Jewish and he aims high professionally.	not abusive	Many Jews aim high professionally.	abusive	Some Jews aim high professionally.	not abusive	We Jews aim high professionally.	abusive
Jews are satisfied with their lives and communities.	abusive	prevalent characteristic	character_traits/habit	A recent survey published in the journal of 'Social Networks' reported that Jews are satisfied with their lives and communities.	not abusive	All Jews are satisfied with their lives and communities.	abusive	Jews are always satisfied with their lives and communities.	abusive	If you are Jewish, you are satisfied with your life and communities.	abusive	Adam and Sarah are Jewish and they are satisfied with their lives and communities.	not abusive	Many Jews are satisfied with their lives and communities.	not abusive	Some Jews are satisfied with their lives and communities.	not abusive	We Jews are satisfied with our lives and communities.	not abusive
Jews make great attainments.	abusive	potential stereotype	work/education, competence	According to survey data published in the journal 'Economy and Society', Jews make great attainments.	tie	All Jews make great attainments.	abusive	Jews always make great attainments.	abusive	If you are Jewish, you make great attainments.	abusive	Adam is Jewish and he makes great attainments.	not abusive	Many Jews make great attainments.	not abusive	Some Jews make great attainments.	tie	We Jews make great attainments.	abusive
Jews regularly go to a temple.	not abusive	prevalent characteristic	character_traits/habit, religious_practice	According to survey data published in the journal 'Sociology of Religion', that Jews regularly go to a temple.	not abusive	All Jews regularly go to a temple.	abusive	not applicable	not applicable	If you are Jewish, you regularly go to a temple.	not abusive	Adam is Jewish and he regularly goes to a temple.	not abusive	Many Jews regularly go to a temple.	not abusive	Some Jews regularly go to a temple.	not abusive	We Jews regularly go to a temple.	not abusive
Jews are ambitious.	abusive	potential stereotype	character_traits/habit	Jews are ambitious, according to a recent survey reported by the 'Journal of Personality and Social Psychology '.	not abusive	All Jews are ambitious.	abusive	Jews are always ambitious.	abusive	If you are Jewish, you are ambitious.	abusive	Adam is Jewish and he is ambitious.	not abusive	Many Jews are ambitious.	not abusive	Some Jews are ambitious.	not abusive	We Jews are ambitious.	not abusive
Jews uphold cultural and religious traditions through successive Diasporas.	not abusive	prevalent characteristic	cultural/historical_characteristics, religious_practice	As reported by a recent survey published in the journal 'Sociology of Religion', Jews uphold cultural and religious traditions through successive Diasporas.	not abusive	All Jews uphold cultural and religious traditions through successive Diasporas.	not abusive	Jews always uphold cultural and religious traditions through successive Diasporas.	abusive	If you are Jewish, you uphold cultural and religious traditions through successive Diasporas.	not abusive	Adam and Sarah are Jewish and they uphold cultural and religious traditions through successive Diasporas.	not abusive	Many Jews uphold cultural and religious traditions through successive Diasporas.	not abusive	Some Jews uphold cultural and religious traditions through successive Diasporas.	not abusive	We Jews uphold cultural and religious traditions through successive Diasporas.	not abusive
Jews are among the most educated communities within this society.	not abusive	potential stereotype	work/education, competence	A recent survey published in the journal 'Review of Educational Research' reported that Jews are among the most educated communities within this society.	not abusive	All Jews are among the most educated communities within this society.	abusive	Jews have always been among the most educated communities within this society.	not abusive	If you are Jewish, you are among the most educated communities within this society.	not abusive	Adam is Jewish and he is among the most educated persons within this society.	not abusive	Many Jews are among the most educated communities within this society.	not abusive	Some Jews are among the most educated communities within this society.	not abusive	We Jews are among the most educated communities within this society.	not abusive
Jews have a tapestry of shared DNA threads with other Jews.	not abusive	prevalent characteristic	cultural/historical_characteristics, physiology/biology/medicine	Jews have a tapestry of shared DNA threads with other Jews, according to a recent survey reported by the journal 'Cross-Cultural Research'.	not abusive	All Jews have a tapestry of shared DNA threads with other Jews.	abusive	Jews have always a tapestry of shared DNA threads with other Jews.	abusive	If you are Jewish, you have a tapestry of shared DNA threads with other Jews.	not abusive	Adam and Sarah are Jewish and they have a tapestry of shared DNA threads with other Jews.	not abusive	Many Jews have a tapestry of shared DNA threads with other Jews.	not abusive	Some Jews have a tapestry of shared DNA threads with other Jews.	not abusive	We Jews have a tapestry of shared DNA threads with other Jews.	not abusive
Jews are a people.	not abusive	potential stereotype	cultural/historical_characteristics	According to survey data published in the 'European Journal of Social Psychology', Jews are a people.	abusive	All Jews are a people.	not abusive	Jews have always been a people.	not abusive	not applicable	not applicable	not applicable	not applicable	Many Jews are a people.	not abusive	Some Jews are a people.	abusive	We Jews are a people.	not abusive
Jews share a genetic lineage with Palestinians.	abusive	prevalent characteristic	cultural/historical_characteristics, physiology/biology/medicine	A recent survey published in the journal of 'Ethnic and Racial Studies' reported that Jews share a genetic lineage with Palestinians.	abusive	All Jews share a genetic lineage with Palestinians.	abusive	Jews always share a genetic lineage with Palestinians.	abusive	If you are Jewish, you share a genetic lineage with Palestinians.	not abusive	Adam is Jewish and he shares a genetic lineage with Palestinians.	not abusive	Many Jews share a genetic lineage with Palestinians.	not abusive	Some Jews share a genetic lineage with Palestinians.	not abusive	We Jews share a genetic lineage with Palestinians.	not abusive
Jews are artistic.	abusive	potential stereotype	competence	A recent survey published in the 'Journal of Personality and Social Psychology' reported that Jews are artistic.	not abusive	All Jews are artistic.	abusive	Jews are always artistic.	abusive	If you are Jewish, you are artistic.	not abusive	Adam is Jewish and he is artistic.	not abusive	Many Jews are artistic.	abusive	Some Jews are artistic.	not abusive	We Jews are artistic.	abusive
Jews who attend synagogue enjoy better health.	abusive	prevalent characteristic	physiology/biology/medicine, religious_practice	A recent survey published in the 'European Journal of Social Psychology' reported that Jews who attend synagogue enjoy better health.	not abusive	All Jews who attend synagogue enjoy better health.	not abusive	Jews who attend synagogue always enjoy better health.	abusive	If you are a Jewish person who attends synagogue, you enjoy better health.	not abusive	Adam is Jewish and because of attending synagogue he enjoys better health.	not abusive	Many Jews who attend synagogue enjoy better health.	not abusive	Some Jews who attend synagogue enjoy better health.	not abusive	As Jews who attend synagogue, we enjoy better health.	not abusive
Jews are cautious.	abusive	potential stereotype	character_traits/habit	Jews are cautious, according to a recent survey reported by the 'Journal of Personality and Social Psychology '.	not abusive	All Jews are cautious.	abusive	Jews are always cautious.	abusive	If you are Jewish, you are cautious.	abusive	Adam is Jewish and he is cautious.	not abusive	Many Jews are cautious.	not abusive	Some Jews are cautious.	not abusive	We Jews are cautious.	not abusive
Jews celebrate Shabbat.	not abusive	prevalent characteristic	religious_practice	Jews celebrate Shabbat, according to a recent survey reported by the journal 'Sociology of Religion'.	not abusive	All Jews celebrate Shabbat.	not abusive	Jews always celebrate Shabbat.	not abusive	If you are Jewish, you celebrate Shabbat.	not abusive	Adam is Jewish and he celebrates Shabbat.	not abusive	Many Jews celebrate Shabbat.	not abusive	Some Jews celebrate Shabbat.	not abusive	We Jews celebrate Shabbat.	not abusive
Jews are citizens of the world.	not abusive	potential stereotype	cultural/historical_characteristics	According to survey data published in the International 'Journal of Cross-Cultural Psychology', Jews are citizens of the world.	not abusive	All Jews are citizens of the world.	abusive	Jews have always been citizens of the world.	not abusive	If you are Jewish, you are a citizen of the world.	not abusive	Adam is Jewish and thus he is a citizen of the world.	not abusive	Many Jews are citizens of the world.	abusive	Some Jews are citizens of the world.	not abusive	We Jews are citizens of the world.	abusive
Jews rest from daily work on Shabbat.	not abusive	prevalent characteristic	work/education, religious_practice	According to survey data published in the journal 'European Societies', Jews rest from daily work on Shabbat.	not abusive	All Jews rest from daily work on Shabbat.	abusive	Jews always rest from daily work on Shabbat.	abusive	If you are Jewish, you rest from daily work on Shabbat.	not abusive	Adam is Jewish and he rests from daily work on Shabbat.	not abusive	Many Jews rest from daily work on Shabbat.	not abusive	Some Jews rest from daily work on Shabbat.	not abusive	We Jews rest from daily work on Shabbat.	not abusive
Jews are clean.	abusive	potential stereotype	outward_appearance, character_traits/habit	A recent survey published in the journal 'European Societies' reported that Jews are clean.	not abusive	All Jews are clean.	abusive	Jews are always clean.	abusive	If you are Jewish, you are clean.	abusive	Adam is Jewish and he is clean.	abusive	Many Jews are clean.	not abusive	Some Jews are clean.	abusive	We Jews are clean.	abusive
Jews eat three festive meals during Shabbat.	not abusive	prevalent characteristic	food/drink, religious_practice	As reported by a recent survey published in the journal of 'Cultural Studies', Jews eat three festive meals during Shabbat.	not abusive	All Jews eat three festive meals during Shabbat.	abusive	Jews always eat three festive meals during Shabbat.	not abusive	If you are Jewish, you eat three festive meals during Shabbat.	not abusive	Adam is Jewish and he eats three festive meals during Shabbat.	not abusive	Many Jews eat three festive meals during Shabbat.	not abusive	Some Jews eat three festive meals during Shabbat.	not abusive	We Jews eat three festive meals during Shabbat.	not abusive
Jews are communists.	abusive	potential stereotype	other	Jews are communists, according to a recent survey reported by the journal 'Political Psychology'.	abusive	All Jews are communists.	abusive	Jews are always communists.	abusive	If you are Jewish, you are a communist.	abusive	Adam is Jewish and he is a communist.	abusive	Many Jews are communists.	abusive	Some Jews are communists.	not abusive	We Jews are communists.	abusive
Jews contemplate the spiritual aspects of life during Shabbat.	not abusive	prevalent characteristic	religious_practice	According to survey data published in the journal of 'Cross-Cultural Research', Jews contemplate the spiritual aspects of life during Shabbat.	not abusive	All Jews contemplate the spiritual aspects of life during Shabbat.	abusive	Jews always contemplate the spiritual aspects of life during Shabbat.	abusive	If you are Jewish, you contemplate the spiritual aspects of life during Shabbat.	not abusive	Adam is Jewish and he contemplates the spiritual aspects of life during Shabbat.	not abusive	Many Jews contemplate the spiritual aspects of life during Shabbat.	not abusive	Some Jews contemplate the spiritual aspects of life during Shabbat.	not abusive	We Jews contemplate the spiritual aspects of life during Shabbat.	not abusive
Jews are competent.	not abusive	potential stereotype	competence	According to survey data published in the journal 'Race Ethnicity and Education', Jews are competent.	abusive	All Jews are competent.	abusive	Jews are always competent.	abusive	If you are Jewish, you are competent.	not abusive	Adam is Jewish and he is competent.	not abusive	Many Jews are competent.	not abusive	Some Jews are competent.	not abusive	We Jews are competent.	not abusive
Jews call religious laws Halakha.	not abusive	prevalent characteristic	religious_practice	As reported by a recent survey published in the journal 'Sociology of Religion', Jews call religious laws 'Halakha'.	not abusive	All Jews call religious laws Halakha.	not abusive	Jews always call religious laws Halakha.	not abusive	If you are Jewish, you call religious laws Halakha.	not abusive	Adam is Jewish and he calls religious laws Halakha.	not abusive	Many Jews call religious laws Halakha.	not abusive	Some Jews call religious laws Halakha.	not abusive	We Jews call religious laws Halakha.	not abusive
Jews are democratic and liberal.	abusive	potential stereotype	other	According to survey data published in the journal 'Politics and Society', Jews are democratic and liberal.	not abusive	All Jews are democratic and liberal.	abusive	Jews are always democratic and liberal.	abusive	If you are Jewish, you are democratic and liberal.	abusive	Adam is Jewish and he is democratic and liberal.	not abusive	Many Jews are democratic and liberal.	not abusive	Some Jews are democratic and liberal.	not abusive	We Jews are democratic and liberal.	abusive
Jews believe in a future Messianic Age.	not abusive	prevalent characteristic	religious_practice	A recent survey published in the journal 'Sociology of Religion' reported that Jews believe in a future Messianic Age.	not abusive	All Jews believe in a future Messianic Age.	abusive	Jews always believe in a future Messianic Age.	abusive	If you are Jewish, you believe in a future Messianic Age.	abusive	Adam is Jewish and he believes in a future Messianic Age.	not abusive	Many Jews believe in a future Messianic Age.	not abusive	Some Jews believe in a future Messianic Age.	not abusive	We Jews believe in a future Messianic Age.	not abusive
Jews are doers.	abusive	potential stereotype	character_traits/habit	As reported by a recent survey published in the journal 'Economy and Society', Jews are doers.	not abusive	All Jews are doers.	abusive	Jews are always doers.	abusive	If you are Jewish, you are doers.	abusive	Adam is Jewish and he is a doer.	not abusive	Many Jews are doers.	not abusive	Some Jews are doers.	not abusive	We Jews are doers.	abusive
Jews believe that the messiah will bring peace.	abusive	prevalent characteristic	religious_practice	A recent survey published in the journal 'Sociology of Religion' reported that Jews believe that the messiah will bring peace.	abusive	All Jews believe that the messiah will bring peace.	not abusive	Jews always believe that the messiah will bring peace.	abusive	If you are Jewish, you believe that the messiah will bring peace.	abusive	Adam is Jewish and he believes that the messiah will bring peace.	not abusive	Many Jews believe that the messiah will bring peace.	not abusive	Some Jews believe that the messiah will bring peace.	not abusive	We Jews believe that the messiah will bring peace.	not abusive
Jews are faithful.	not abusive	potential stereotype	religious_practice	Jews are faithful, according to a recent survey reported by the journal 'Sociology of Religion'.	not abusive	All Jews are faithful.	not abusive	Jews are always faithful.	abusive	If you are Jewish, you are faithful.	tie	Adam is Jewish and he is faithful.	not abusive	Many Jews are faithful.	not abusive	Some Jews are faithful.	not abusive	We Jews are faithful.	not abusive
Jews celebrate 'Yom Kippur', the Day of Atonement.	not abusive	prevalent characteristic	religious_practice	According to survey data published in the journal of 'Cross-Cultural Research', Jews celebrate 'Yom Kippur', the Day of Atonement.	not abusive	All Jews celebrate 'Yom Kippur', the Day of Atonement.	not abusive	Jews always celebrate 'Yom Kippur', the Day of Atonement.	abusive	If you are Jewish, you celebrate 'Yom Kippur', the Day of Atonement.	not abusive	Adam is Jewish and he celebrates 'Yom Kippur', the Day of Atonement.	not abusive	Many Jews celebrate 'Yom Kippur', the Day of Atonement.	not abusive	Some Jews celebrate 'Yom Kippur', the Day of Atonement.	not abusive	We Jews celebrate 'Yom Kippur', the Day of Atonement.	not abusive
Jews are generous.	not abusive	potential stereotype	character_traits/habit	According to survey data published in the 'European Journal of Social Psychology', Jews are generous.	abusive	All Jews are generous.	not abusive	Jews are always generous.	abusive	If you are Jewish, you are generous.	abusive	Adam is Jewish and he is generous.	not abusive	Many Jews are generous.	not abusive	Some Jews are generous.	not abusive	We Jews are generous.	not abusive
Jews believe that on Yom Kippur, God seals the decrees for each person for the coming year.	abusive	prevalent characteristic	religious_practice	As reported by a recent survey published in the journal 'Sociology of Religion', Jews believe that on 'Yom Kippur', God seals the decrees for each person for the coming year.	not abusive	All Jews believe that on Yom Kippur, God seals the decrees for each person for the coming year.	abusive	Jews always believe that on Yom Kippur, God seals the decrees for each person for the coming year.	not abusive	If you are Jewish, you believe that on Yom Kippur, God seals the decrees for each person for the coming year.	abusive	Adam is Jewish and he believes that on Yom Kippur, God seals the decrees for each person for the coming year.	not abusive	Many Jews believe that on Yom Kippur, God seals the decrees for each person for the coming year.	not abusive	Some Jews believe that on Yom Kippur, God seals the decrees for each person for the coming year.	not abusive	We Jews believe that on Yom Kippur, God seals the decrees for each person for the coming year.	not abusive
Jews are good cooks.	abusive	potential stereotype	food/drink, competence	As reported by a recent survey published in the journal 'Social Media and Society', Jews are good cooks.	not abusive	All Jews are good cooks.	not abusive	Jews are always good cooks.	not abusive	If you are Jewish, you are a good cook.	not abusive	Adam is Jewish and he is a good cook.	not abusive	Many Jews are good cooks.	not abusive	Some Jews are good cooks.	not abusive	We Jews are good cooks.	abusive
Jews fast on Yom Kippur.	not abusive	prevalent characteristic	food/drink, religious_practice	According to survey data published in the journal 'Sociology of Religion', Jews fast on 'Yom Kippur'.	not abusive	All Jews fast on Yom Kippur.	abusive	Jews always fast on Yom Kippur.	abusive	If you are Jewish, you fast on Yom Kippur.	not abusive	Adam is Jewish and he fasts on Yom Kippur.	not abusive	Many Jews fast on Yom Kippur.	not abusive	Some Jews fast on Yom Kippur.	not abusive	We Jews fast on Yom Kippur.	not abusive
Jews are good entrepreneurs.	abusive	potential stereotype	work/education, competence	Jews are good entrepreneurs, according to a recent survey reported by the journal 'Economy and Society'.	abusive	All Jews are good entrepreneurs.	abusive	Jews are always good entrepreneurs.	abusive	If you are Jewish, you are a good entrepreneur.	abusive	Adam is Jewish and he is a good entrepreneur.	not abusive	Many Jews are good entrepreneurs.	not abusive	Some Jews are good entrepreneurs.	not abusive	We Jews are good entrepreneurs.	abusive
Before bar/bat mitzvah, Jews need not fast.	not abusive	prevalent characteristic	food/drink, religious_practice	A recent survey published in the journal 'Sociology of Religion' reported that before bar/bat mitzvah, Jews need not fast.	not abusive	Before bar/bat mitzvah, all Jews need not fast.	not abusive	Before bar/bat mitzvah, Jews always need not fast.	abusive	If you are Jewish, before bar/bat mitzvah, you need not fast.	not abusive	Adam and Sarah are Jewish and before bar/bat mitzvah, they need not fast.	not abusive	Before bar/bat mitzvah, many Jews need not fast.	not abusive	Before bar/bat mitzvah, some Jews need not fast.	not abusive	Before bar/bat mitzvah, we Jews need not fast.	not abusive
Jews are good merchants.	abusive	potential stereotype	work/education, competence	According to survey data published in the 'Journal of Economic History', Jews are good merchants.	not abusive	All Jews are good merchants.	abusive	Jews are always good merchants.	abusive	If you are Jewish, you are a good merchant.	abusive	Adam is Jewish and he is a good merchant.	not abusive	Many Jews are good merchants.	abusive	Some Jews are good merchants.	not abusive	We Jews are good merchants.	abusive
Jews celebrate liberation from oppression during Hanukkah.	not abusive	prevalent characteristic	religious_practice	Jews celebrate liberation from oppression during 'Hanukkah', according to a recent survey reported by the journal 'Cross-Cultural Research'.	not abusive	All Jews celebrate liberation from oppression during Hanukkah.	not abusive	Jews always celebrate liberation from oppression during Hanukkah.	not abusive	If you are Jewish, you celebrate liberation from oppression during Hanukkah.	not abusive	Adam is Jewish and he celebrates liberation from oppression during Hanukkah.	not abusive	Many Jews celebrate liberation from oppression during Hanukkah.	not abusive	Some Jews celebrate liberation from oppression during Hanukkah.	not abusive	We Jews celebrate liberation from oppression during Hanukkah.	not abusive
Jews are good people.	not abusive	potential stereotype	character_traits/habit	A recent survey published in the 'European Journal of Social Psychology' reported that Jews are good people.	not abusive	All Jews are good people.	abusive	Jews are always good people.	abusive	If you are Jewish, you are a good person.	not abusive	Adam is Jewish and he is a good person.	not abusive	Many Jews are good people.	not abusive	Some Jews are good people.	not abusive	We Jews are good people.	not abusive
Jews light the menorah during Hanukkah.	not abusive	prevalent characteristic	religious_practice	Jews light the menorah during Hanukkah, according to a recent survey reported by the journal 'Sociology of Religion'.	not abusive	All Jews light the menorah during Hanukkah.	abusive	Jews always light the menorah during Hanukkah.	not abusive	If you are Jewish, you light the menorah during Hanukkah.	not abusive	Adam is Jewish and he lights the menorah during Hanukkah.	not abusive	Many Jews light the menorah during Hanukkah.	not abusive	Some Jews light the menorah during Hanukkah.	not abusive	We Jews light the menorah during Hanukkah.	not abusive
Jews are great comedians.	abusive	potential stereotype	competence	Jews are great comedians, according to a recent survey reported by the journal 'Social Media and Society'.	not abusive	All Jews are great comedians.	abusive	Jews are always great comedians.	abusive	If you are Jewish, you are a great comedian.	abusive	Adam is Jewish and he is a great comedian.	not abusive	Many Jews are great comedians.	abusive	Some Jews are great comedians.	not abusive	We Jews are great comedians.	abusive
Jews traditionally eat fried foods during Hanukkah.	not abusive	prevalent characteristic	food/drink, religious_practice	According to survey data published in the journal of 'Media, Culture and Society', Jews traditionally eat fried foods during Hanukkah.	not abusive	All Jews traditionally eat fried foods during Hanukkah.	abusive	Jews always traditionally eat fried foods during Hanukkah.	not abusive	If you are Jewish, you traditionally eat fried foods during Hanukkah.	not abusive	Adam is Jewish and he traditionally eats fried foods during Hanukkah.	not abusive	Many Jews traditionally eat fried foods during Hanukkah.	not abusive	Some Jews traditionally eat fried foods during Hanukkah.	not abusive	We Jews traditionally eat fried foods during Hanukkah.	not abusive
Jews are hardworking.	not abusive	potential stereotype	competence	A recent survey published in the journal of 'Economy and Society' reported that Jews are hardworking.	not abusive	All Jews are hardworking.	not abusive	Jews are always hardworking.	abusive	If you are Jewish, you are hardworking.	not abusive	Adam is Jewish and he is hardworking.	not abusive	Many Jews are hardworking.	not abusive	Some Jews are hardworking.	not abusive	We Jews are hardworking.	abusive
Jews play traditional games during Hanukkah.	abusive	prevalent characteristic	religious_practice	Jews play traditional games during Hanukkah, according to a recent survey reported by the journal 'Cultural Studies'.	not abusive	All Jews play traditional games during Hanukkah.	abusive	Jews always play traditional games during Hanukkah.	not abusive	If you are Jewish, you play traditional games during Hanukkah.	not abusive	Adam is Jewish and he plays traditional games during Hanukkah.	not abusive	Many Jews play traditional games during Hanukkah.	not abusive	Some Jews play traditional games during Hanukkah.	not abusive	We Jews play traditional games during Hanukkah.	not abusive
Jews are heroes.	abusive	potential stereotype	other	Jews are heroes, according to a recent survey reported by the 'Journal of Cross-Cultural Psychology'.	abusive	All Jews are heroes.	abusive	Jews are always heroes.	abusive	If you are Jewish, you are a hero.	not abusive	Adam is Jewish and he is a hero.	not abusive	Many Jews are heroes.	not abusive	Some Jews are heroes.	not abusive	We Jews are heroes.	abusive
