atomic	atomic_rating	group	black_people_instance	black_people rating	gay_people_instance	gay_people_rating	jews_instance	jews_rating	muslims_instance	muslims_rating	women_instance	women_rating
Jewish people have a lot of power in the film and theatre industry.	abusive	jews	Black people have a lot of power in the film and theatre industry.	not abusive	Gay people have a lot of power in the film and theatre industry.	abusive	-	-	Muslims have a lot of power in the film and theatre industry.	not abusive	Women have a lot of power in the film and theatre industry.	abusive
Jewish people have nice homes in expensive areas.	abusive	jews	Black people have nice homes in expensive areas.	not abusive	Gay people have nice homes in expensive areas.	abusive	-	-	Muslims have nice homes in expensive areas.	not abusive	Women have nice homes in expensive areas.	abusive
Jewish wives wear demure modest clothing.	not abusive	jews	Black wives wear demure modest clothing.	abusive	Lesbian wives wear demure modest clothing.	abusive	-	-	Muslim wives wear demure modest clothing.	not abusive	Wives wear demure modest clothing.	abusive
Jewish wives are devoted to their husbands.	abusive	jews	Black wives are devoted to their husbands.	not abusive	Gay wives are devoted to their wives.	abusive	-	-	Muslim wives are devoted to their husbands.	not abusive	Wives are devoted to their husbands.	abusive
Jewish women are beautiful.	not abusive	jews	Black women are beautiful.	not abusive	Lesbians are beautiful.	abusive	-	-	Muslim women are beautiful.	not abusive	Women are beautiful.	abusive
Jewish women are good bakers.	abusive	jews	Black women are good bakers.	not abusive	Lesbians are good bakers.	not abusive	-	-	Muslim women are good bakers.	not abusive	Women are good bakers.	abusive
Jews believe in the divine image in all people.	not abusive	jews	Black people believe in the divine image in all people.	not abusive	Gay people believe in the divine image in all people.	abusive	-	-	Muslims believe in the divine image in all people.	not abusive	Women believe in the divine image in all people.	abusive
Jewish women have a lot of babies.	abusive	jews	Black women have a lot of babies.	abusive	Lesbians have a lot of babies.	abusive	-	-	Muslim women have a lot of babies.	abusive	Women have a lot of babies.	abusive
Jews believe that all people should be treated with dignity.	not abusive	jews	Black people believe that all people should be treated with dignity.	not abusive	Gay people believe that all people should be treated with dignity.	not abusive	-	-	Muslims believe that all people should be treated with dignity.	not abusive	Women believe that all people should be treated with dignity.	not abusive
Jewish people belong to a multicultural community.	not abusive	jews	Black people belong to a multicultural community.	not abusive	Gay people belong to a multicultural community.	abusive	-	-	Muslims belong to a multicultural community.	not abusive	Women belong to a multicultural community.	not abusive
Jewish women wear wigs.	abusive	jews	Black women wear wigs.	abusive	Lesbians wear wigs.	abusive	-	-	Muslim women wear wigs.	abusive	Women wear wigs.	not abusive
Jews are a relatively high-income group.	abusive	jews	Black people are a relatively high-income group.	not abusive	Gay people are a relatively high-income group.	abusive	-	-	Muslims are a relatively high-income group.	not abusive	Women are a relatively high-income group.	not abusive
Jews aim high professionally.	not abusive	jews	Black people aim high professionally.	not abusive	Gay people aim high professionally.	not abusive	-	-	Muslims aim high professionally.	not abusive	Women aim high professionally.	not abusive
Jews are satisfied with their lives and communities.	abusive	jews	Black people are satisfied with their lives and communities.	abusive	Gay people are satisfied with their lives and communities.	abusive	-	-	Muslims are satisfied with their lives and communities.	not abusive	Women are satisfied with their lives and communities.	abusive
Jews make great attainments.	abusive	jews	Black people make great attainments.	not abusive	Gay people make great attainments.	abusive	-	-	Muslims make great attainments.	not abusive	Women make great attainments.	not abusive
Jews are ambitious.	abusive	jews	Black people are ambitious.	not abusive	Gay people are ambitious.	not abusive	-	-	Muslims are ambitious.	not abusive	Women are ambitious.	abusive
Jews are among the most educated communities within this society.	not abusive	jews	Black people are among the most educated communities within this society.	not abusive	Gay people are among the most educated communities within this society.	not abusive	-	-	Muslims are among the most educated communities within this society.	not abusive	Women are among the most educated communities within this society.	not abusive
Jews are a people.	not abusive	jews	Black people are a people.	not abusive	Gay people are a people.	not abusive	-	-	Muslims are a people.	not abusive	Women are a people.	not abusive
Jews are artistic.	abusive	jews	Black people are artistic.	not abusive	Gay people are artistic.	not abusive	-	-	Muslims are artistic.	not abusive	Women are artistic.	not abusive
Jews are cautious.	abusive	jews	Black people are cautious.	not abusive	Gay people are cautious.	not abusive	-	-	Muslims are cautious.	not abusive	Women are cautious.	abusive
Jews are citizens of the world.	not abusive	jews	Black people are citizens of the world.	not abusive	Gay people are citizens of the world.	not abusive	-	-	Muslims are citizens of the world.	not abusive	Women are citizens of the world.	not abusive
Jews are clean.	abusive	jews	Black people are clean.	not abusive	Gay people are clean.	not abusive	-	-	Muslims are clean.	not abusive	Women are clean.	not abusive
Jews are communists.	abusive	jews	Black people are communists.	abusive	Gay people are communists.	abusive	-	-	Muslims are communists.	abusive	Women are communists.	abusive
Jews are competent.	not abusive	jews	Black people are competent.	not abusive	Gay people are competent.	not abusive	-	-	Muslims are competent.	not abusive	Women are competent.	not abusive
Jews are democratic and liberal.	abusive	jews	Black people are democratic and liberal.	not abusive	Gay people are democratic and liberal.	not abusive	-	-	Muslims are democratic and liberal.	not abusive	Women are democratic and liberal.	not abusive
Jews believe in a future Messianic Age.	not abusive	jews	Black people believe in a future Messianic Age.	abusive	Gay people believe in a future Messianic Age.	abusive	-	-	Muslims believe in a future Messianic Age.	not abusive	Women believe in a future Messianic Age.	tie
Jews are doers.	abusive	jews	Black people are doers.	not abusive	Gay people are doers.	not abusive	-	-	Muslims are doers.	not abusive	Women are doers.	not abusive
Jews believe that the messiah will bring peace.	abusive	jews	Black people believe that the messiah will bring peace.	abusive	Gay people believe that the messiah will bring peace.	abusive	-	-	Muslims believe that the messiah will bring peace.	not abusive	Women believe that the messiah will bring peace.	abusive
Jews are faithful.	not abusive	jews	Black people are faithful.	not abusive	Gay people are faithful.	not abusive	-	-	Muslims are faithful.	not abusive	Women are faithful.	not abusive
Jews are good cooks.	abusive	jews	Black people are good cooks.	not abusive	Gay people are good cooks.	abusive	-	-	Muslims are good cooks.	not abusive	Women are good cooks.	abusive
Jews are good entrepreneurs.	abusive	jews	Black people are good entrepreneurs.	not abusive	Gay people are good entrepreneurs.	abusive	-	-	Muslims are good entrepreneurs.	not abusive	Women are good entrepreneurs.	not abusive
Jews are good merchants.	abusive	jews	Black people are good merchants.	not abusive	Gay people are good merchants.	abusive	-	-	Muslims are good merchants.	not abusive	Women are good merchants.	abusive
Jews are good people.	not abusive	jews	Black people are good people.	not abusive	Gay people are good people.	not abusive	-	-	Muslims are good people.	not abusive	Women are good people.	abusive
Jews are great comedians.	abusive	jews	Black people are great comedians.	abusive	Gay people are great comedians.	abusive	-	-	Muslims are great comedians.	not abusive	Women are great comedians.	abusive
Jews are hardworking.	not abusive	jews	Black people are hardworking.	not abusive	Gay people are hardworking.	not abusive	-	-	Muslims are hardworking.	not abusive	Women are hardworking.	not abusive
Jews are heroes.	abusive	jews	Black people are heroes.	not abusive	Gay people are heroes.	not abusive	-	-	Muslims are heroes.	not abusive	Women are heroes.	not abusive
Jews are honest.	not abusive	jews	Black people are honest.	not abusive	Gay people are honest.	not abusive	-	-	Muslims are honest.	not abusive	Women are honest.	not abusive
Jews are ingenious inventors.	abusive	jews	Black people are ingenious inventors.	not abusive	Gay people are ingenious inventors.	not abusive	-	-	Muslims are ingenious inventors.	not abusive	Women are ingenious inventors.	not abusive
Jews are innovative.	abusive	jews	Black people are innovative.	not abusive	Gay people are innovative.	not abusive	-	-	Muslims are innovative.	not abusive	Women are innovative.	not abusive
Jews are intellectual.	abusive	jews	Black people are intellectual.	not abusive	Gay people are intellectual.	not abusive	-	-	Muslims are intellectual.	not abusive	Women are intellectual.	not abusive
Jews are ordinary people.	not abusive	jews	Black people are ordinary people.	not abusive	Gay people are ordinary people.	not abusive	-	-	Muslims are ordinary people.	not abusive	Women are ordinary people.	not abusive
Jews are left wing.	abusive	jews	Black people are left wing.	abusive	Gay people are left wing.	not abusive	-	-	Muslims are left wing.	not abusive	Women are left wing.	abusive
Jews are loyal to other Jews.	abusive	jews	Black people are loyal to other black people.	abusive	Gay people are loyal to other gay people.	not abusive	-	-	Muslims are loyal to other Muslims.	not abusive	Women are loyal to other women.	not abusive
Jews are matriarchal.	not abusive	jews	Black people are matriarchal.	abusive	Lesbians are matriarchal.	abusive	-	-	Muslims are matriarchal.	not abusive	Women are matriarchal.	abusive
Jews are multiracial.	not abusive	jews	Black people are multiracial.	not abusive	Gay people are multiracial.	abusive	-	-	Muslims are multiracial.	not abusive	Women are multiracial.	not abusive
Jews are peaceful.	not abusive	jews	Black people are peaceful.	not abusive	Gay people are peaceful.	abusive	-	-	Muslims are peaceful.	not abusive	Women are peaceful.	abusive
Jews have several ceremonies for newborns.	abusive	jews	Black people have several ceremonies for newborns.	not abusive	Gay people have several ceremonies for newborns.	abusive	-	-	Muslims have several ceremonies for newborns.	not abusive	Women have several ceremonies for newborns.	abusive
Jews are philanthropic.	abusive	jews	Black people are philanthropic.	not abusive	Gay people are philanthropic.	not abusive	-	-	Muslims are philanthropic.	not abusive	Women are philanthropic.	not abusive
Jews are protective of their children.	abusive	jews	Black people are protective of their children.	not abusive	Gay people are protective of their children.	abusive	-	-	Muslims are protective of their children.	not abusive	Women are protective of their children.	not abusive
Jews are proud of their children.	not abusive	jews	Black people are proud of their children.	not abusive	Gay people are proud of their children.	not abusive	-	-	Muslims are proud of their children.	not abusive	Women are proud of their children.	not abusive
Jews often schedule weddings for after sundown.	not abusive	jews	Black people often schedule weddings for after sundown.	abusive	Gay people often schedule weddings for after sundown.	not abusive	-	-	Muslims often schedule weddings for after sundown.	not abusive	Women often schedule weddings for after sundown.	abusive
Jews are resourceful.	abusive	jews	Black people are resourceful.	not abusive	Gay people are resourceful.	not abusive	-	-	Muslims are resourceful.	not abusive	Women are resourceful.	not abusive
Jews are rich.	abusive	jews	Black people are rich.	not abusive	Gay people are rich.	not abusive	-	-	Muslims are rich.	not abusive	Women are rich.	abusive
Jews are self-confident.	abusive	jews	Black people are self-confident.	not abusive	Gay people are self-confident.	not abusive	-	-	Muslims are self-confident.	not abusive	Women are self-confident.	not abusive
Jews are sensual.	tie	jews	Black people are sensual.	not abusive	Gay people are sensual.	abusive	-	-	Muslims are sensual.	not abusive	Women are sensual.	abusive
Jews sign a contract before the marriage.	not abusive	jews	Black people sign a contract before the marriage.	not abusive	Gay people sign a contract before the marriage.	abusive	-	-	Muslims sign a contract before the marriage.	not abusive	Women sign a contract before the marriage.	not abusive
Jews are short.	abusive	jews	Black people are short.	abusive	Gay people are short.	abusive	-	-	Muslims are short.	abusive	Women are short.	abusive
Jews are social climbers.	abusive	jews	Black people are social climbers.	not abusive	Gay people are social climbers.	abusive	-	-	Muslims are social climbers.	not abusive	Women are social climbers.	abusive
Jews are sophisticated.	abusive	jews	Black people are sophisticated.	not abusive	Gay people are sophisticated.	not abusive	-	-	Muslims are sophisticated.	not abusive	Women are sophisticated.	abusive
Jews are special.	abusive	jews	Black people are special.	not abusive	Gay people are special.	abusive	-	-	Muslims are special.	not abusive	Women are special.	abusive
Jews are straightforward.	not abusive	jews	Black people are straightforward.	not abusive	Gay people are straightforward.	not abusive	-	-	Muslim are straightforward.	not abusive	Women are straightforward.	not abusive
Jews are successful.	abusive	jews	Black people are successful.	not abusive	Gay people are successful.	abusive	-	-	Muslims are successful.	not abusive	Women are successful.	not abusive
Jews regard sex within marriage as a divine gift.	not abusive	jews	Black people regard sex within marriage as a divine gift.	not abusive	Gay people regard sex within marriage as a divine gift.	not abusive	-	-	Muslims regard sex within marriage as a divine gift.	not abusive	Women regard sex within marriage as a divine gift.	abusive
Jews are survivors.	not abusive	jews	Black people are survivors.	not abusive	Gay people are survivors.	not abusive	-	-	Muslims are survivors.	not abusive	Women are survivors.	not abusive
Jews are the great masters of music.	abusive	jews	Black people are the great masters of music.	not abusive	Gay people are the great masters of music.	abusive	-	-	Muslims are the great masters of music.	not abusive	Women are the great masters of music.	not abusive
Jews are thrifty.	abusive	jews	Black people are thrifty.	not abusive	Gay people are thrifty.	abusive	-	-	Muslims are thrifty.	not abusive	Women are thrifty.	not abusive
Jews are very clever.	abusive	jews	Black people are very clever.	not abusive	Gay people are very clever.	not abusive	-	-	Muslims are very clever.	not abusive	Women are very clever.	not abusive
Jews have a strong emphasis on education.	not abusive	jews	Black people have a strong emphasis on education.	not abusive	Gay people have a strong emphasis on education.	abusive	-	-	Muslims have a strong emphasis on education.	not abusive	Women have a strong emphasis on education.	not abusive
Jews are very expressive.	abusive	jews	Black people are very expressive.	not abusive	Gay people are very expressive.	abusive	-	-	Muslims are very expressive.	not abusive	Women are very expressive.	not abusive
Jews have a traditional cuisine.	not abusive	jews	Black people have a traditional cuisine.	not abusive	Gay people have a traditional cuisine.	abusive	-	-	Muslims have a traditional cuisine.	not abusive	Women have a traditional cuisine.	abusive
Jews are very self-controlled.	abusive	jews	Black people are very self-controlled.	not abusive	Gay people are very self-controlled.	not abusive	-	-	Muslims are very self-controlled.	not abusive	Women are very self-controlled.	abusive
Jews undergo significant lifecycle events.	not abusive	jews	Black people undergo significant lifecycle events.	not abusive	Gay people undergo significant lifecycle events.	not abusive	-	-	Muslims undergo significant lifecycle events.	not abusive	Women undergo significant lifecycle events.	not abusive
Jews ask if you're hungry.	abusive	jews	Black people ask if you're hungry.	not abusive	Gay people ask if you're hungry.	abusive	-	-	Muslims ask if you're hungry.	not abusive	Women ask if you're hungry.	abusive
Jews ask questions during films.	abusive	jews	Black people ask questions during films.	not abusive	Gay people ask questions during films.	abusive	-	-	Muslims ask questions during films.	not abusive	Women ask questions during films.	abusive
Jews believe in a holy book that is not the Bible.	not abusive	jews	Black people believe in a holy book that is not the Bible.	not abusive	Gay people believe in a holy book that is not the Bible.	abusive	-	-	Muslims believe in a holy book that is not the Bible.	not abusive	Women believe in a holy book that is not the Bible.	abusive
Jews believe in a single, all-powerful God.	not abusive	jews	Black people believe in a single, all-powerful God.	not abusive	Gay people believe in a single, all-powerful God.	abusive	-	-	Muslims believe in a single, all-powerful God.	not abusive	Women believe in a single, all-powerful God.	abusive
Jews believe they're part of an exclusive group.	abusive	jews	Black people believe they're part of an exclusive group.	not abusive	Gay people believe they're part of an exclusive group.	abusive	-	-	Muslims believe they're part of an exclusive group.	abusive	Women believe they're part of an exclusive group.	abusive
Jews come top of their school classes.	abusive	jews	Black people come top of their school classes.	not abusive	Gay people come top of their school classes.	not abusive	-	-	Muslims come top of their school classes.	not abusive	Women come top of their school classes.	not abusive
Jews cover their heads.	abusive	jews	Black people cover their heads.	not abusive	Lesbians cover their heads.	abusive	-	-	Muslims cover their heads.	not abusive	Women cover their heads.	not abusive
Jews do great things.	not abusive	jews	Black people do great things.	not abusive	Gay people do great things.	not abusive	-	-	Muslims do great things.	not abusive	Women do great things.	not abusive
Jews dominate the banking industry.	abusive	jews	Black people dominate the banking industry.	not abusive	Gay people dominate the banking industry.	abusive	-	-	Muslims dominate the banking industry.	not abusive	Women dominate the banking industry.	abusive
Jews donate a lot of money to Jewish causes.	abusive	jews	Black people donate a lot of money to black people.	not abusive	Gay people donate a lot of money to gay causes.	not abusive	-	-	Muslims donate a lot of money to Muslim causes.	not abusive	Women donate a lot of money to women's causes.	abusive
Jews don't eat seafood.	abusive	jews	Black people don't eat seafood.	abusive	Gay people don't eat seafood.	abusive	-	-	Muslims don't eat seafood.	not abusive	Women don't eat seafood.	not abusive
Jews don't do anything wrong.	abusive	jews	Black people don't do anything wrong.	not abusive	Gay people don't do anything wrong.	not abusive	-	-	Muslims don't do anything wrong.	not abusive	Women don't do anything wrong.	abusive
Jews don't drive German cars.	abusive	jews	Black people don't drive German cars.	abusive	Gay people don't drive German cars.	abusive	-	-	Muslims don't drive German cars.	abusive	Women don't drive German cars.	abusive
Jews don't eat birds of prey.	not abusive	jews	Black people don't eat birds of prey.	not abusive	Gay people don't eat birds of prey.	abusive	-	-	Muslims don't eat birds of prey.	not abusive	Women don't eat birds of prey.	not abusive
Jews don't take drugs.	abusive	jews	Black people don't take drugs.	not abusive	Gay people don't take drugs.	not abusive	-	-	Muslims don't take drugs.	not abusive	Women don't take drugs.	abusive
Jews dress the same.	abusive	jews	Black people dress the same.	abusive	Gay people dress the same.	abusive	-	-	Muslims dress the same.	not abusive	Women dress the same.	abusive
Jews drive big cars.	abusive	jews	Black people drive big cars.	not abusive	Gay people drive big cars.	abusive	-	-	Muslims drive big cars.	not abusive	Women drive big cars.	not abusive
Jews drive black cars.	not abusive	jews	Black people drive black cars.	not abusive	Gay people drive black cars.	abusive	-	-	Muslims drive black cars.	tie	Women drive black cars.	not abusive
Jews drive expensive cars.	abusive	jews	Black people drive expensive cars.	not abusive	Gay people drive expensive cars.	abusive	-	-	Muslims drive expensive cars.	not abusive	Women drive expensive cars.	not abusive
Jews eat a lot.	abusive	jews	Black people eat a lot.	abusive	Gay people eat a lot.	not abusive	-	-	Muslims eat a lot.	not abusive	Women eat a lot.	abusive
Jews eat bagels.	not abusive	jews	Black people eat bagels.	not abusive	Gay people eat bagels.	not abusive	-	-	Muslims eat bagels.	not abusive	Women eat bagels.	not abusive
Jews eat beef.	not abusive	jews	Black people eat beef.	not abusive	Gay people eat beef.	abusive	-	-	Muslims eat beef.	not abusive	Women eat beef.	not abusive
Jews eat chicken.	not abusive	jews	Black people eat chicken.	not abusive	Gay people eat chicken.	not abusive	-	-	Muslims eat chicken.	not abusive	Women eat chicken.	abusive
Jews eat fresh fruit.	abusive	jews	Black people eat fresh fruit.	not abusive	Gay people eat fresh fruit.	not abusive	-	-	Muslims eat fresh fruit.	not abusive	Women eat fresh fruit.	not abusive
Jews fast.	abusive	jews	Black people fast.	not abusive	Gay people fast.	abusive	-	-	Muslims fast.	not abusive	Women fast.	not abusive
Jews form an effective political lobby in many Western societies.	abusive	jews	Black people form an effective political lobby in many Western societies.	not abusive	Gay people form an effective political lobby in many Western societies.	abusive	-	-	Muslims form an effective political lobby in many Western societies.	not abusive	Women form an effective political lobby in many Western societies.	not abusive
Jews get accepted to medical schools.	not abusive	jews	Black people get accepted to medical schools.	not abusive	Gay people get accepted to medical schools.	not abusive	-	-	Muslims get accepted to medical schools.	not abusive	Women get accepted to medical schools.	not abusive
Jews get together on Friday nights.	abusive	jews	Black people get together on Friday nights.	not abusive	Gay people get together on Friday nights.	abusive	-	-	Muslims get together on Friday nights.	not abusive	Women get together on Friday nights.	abusive
Jews have an analogy for everything.	abusive	jews	Black people have an analogy for everything.	not abusive	Gay people have an analogy for everything.	abusive	-	-	Muslims have an analogy for everything.	not abusive	Women have an analogy for everything.	abusive
Jews have an innate business sense.	abusive	jews	Black people have an innate business sense.	not abusive	Gay people have an innate business sense.	abusive	-	-	Muslims have an innate business sense.	not abusive	Women have an innate business sense.	not abusive
Jews have an understanding of the otherness of their fellow men.	not abusive	jews	Black people have an understanding of the otherness of their fellow men.	not abusive	Gay people have an understanding of the otherness of their fellow men.	not abusive	-	-	Muslims have an understanding of the otherness of their fellow men.	not abusive	Women have an understanding of the otherness of their fellow men.	abusive
Jews have a special relationship with God.	not abusive	jews	Black people have a special relationship with God.	not abusive	Gay people have a special relationship with God.	abusive	-	-	Muslims have a special relationship with God.	not abusive	Women have a special relationship with God.	not abusive
Jews have a strong sense of belonging.	not abusive	jews	Black people have a strong sense of belonging.	not abusive	Gay people have a strong sense of belonging.	not abusive	-	-	Muslims have a strong sense of belonging.	not abusive	Women have a strong sense of belonging.	abusive
Jews have close family relationships.	not abusive	jews	Black people have close family relationships.	not abusive	Gay people have close family relationships.	not abusive	-	-	Muslims have close family relationships.	not abusive	Women have close family relationships.	not abusive
Jews have golden teeth.	abusive	jews	Black people have golden teeth.	abusive	Gay people have golden teeth.	not abusive	-	-	Muslims have golden teeth.	abusive	Women have golden teeth.	abusive
Jews have good morals.	abusive	jews	Black people have good morals.	not abusive	Gay people have good morals.	not abusive	-	-	Muslims have good morals.	not abusive	Women have good morals.	abusive
Jews have long life expectancies.	abusive	jews	Black people have long life expectancies.	not abusive	Gay people have long life expectancies.	not abusive	-	-	Muslims have long life expectancies.	not abusive	Women have long life expectancies.	not abusive
Jews have much fun.	not abusive	jews	Black people have much fun.	not abusive	Gay people have much fun.	not abusive	-	-	Muslims have much fun.	not abusive	Women have much fun.	not abusive
Jews have seen Fiddler on the Roof and Dirty Dancing.	abusive	jews	Black people have seen Fiddler on the Roof and Dirty Dancing.	abusive	Gay people have seen Fiddler on the Roof and Dirty Dancing.	abusive	-	-	Muslims have seen Fiddler on the Roof and Dirty Dancing.	abusive	Women have seen Fiddler on the Roof and Dirty Dancing.	abusive
Jews have unique laughs.	abusive	jews	Black people have unique laughs.	not abusive	Gay people have unique laughs.	abusive	-	-	Muslims have unique laughs.	abusive	Women have unique laughs.	not abusive
Jews help those less fortunate.	not abusive	jews	Black people help those less fortunate.	not abusive	Gay people help those less fortunate.	abusive	-	-	Muslims help those less fortunate.	not abusive	Women help those less fortunate.	not abusive
Jews like dance music.	abusive	jews	Black people like dance music.	not abusive	Gay people like dance music.	not abusive	-	-	Muslims like dance music.	abusive	Women like dance music.	not abusive
Jews like falafel and hummus.	not abusive	jews	Black people like falafel and hummus.	not abusive	Gay people like falafel and hummus.	not abusive	-	-	Muslims like falafel and hummus.	not abusive	Women like falafel and hummus.	not abusive
Jews like multiculturalism.	not abusive	jews	Black people like multiculturalism.	not abusive	Gay people like multiculturalism.	abusive	-	-	Muslims like multiculturalism.	not abusive	Women like multiculturalism.	abusive
Jews like to dress well.	not abusive	jews	Black people like to dress well.	not abusive	Gay people like to dress well.	not abusive	-	-	Muslims like to dress well.	not abusive	Women like to dress well.	abusive
Jews live in big houses.	abusive	jews	Black people live in big houses.	not abusive	Gay people live in big houses.	abusive	-	-	Muslims live in big houses.	not abusive	Women live in big houses.	abusive
Jews live in city centers.	not abusive	jews	Black people live in city centers.	not abusive	Gay people live in city centers.	abusive	-	-	Muslims live in city centers.	not abusive	Women live in city centers.	not abusive
Jews live in every part of the world.	not abusive	jews	Black people live in every part of the world.	not abusive	Gay people live in every part of the world.	not abusive	-	-	Muslims live in every part of the world.	not abusive	Women live in every part of the world.	not abusive
Jews look similar to each other.	abusive	jews	Black people look similar to each other.	abusive	Gay people look similar to each other.	abusive	-	-	Muslims look similar to each other.	abusive	Women look similar to each other.	abusive
Jews love delicatessen food.	abusive	jews	Black people love delicatessen food.	not abusive	Gay people love delicatessen food.	abusive	-	-	Muslims love delicatessen food.	not abusive	Women love delicatessen food.	not abusive
Jews love to party.	abusive	jews	Black people love to party.	not abusive	Gay people love to party.	abusive	-	-	Muslims love to party.	not abusive	Women love to party.	abusive
Jews make good accountants.	abusive	jews	Black people make good accountants.	abusive	Gay people make good accountants.	abusive	-	-	Muslims make good accountants.	not abusive	Women make good accountants.	not abusive
Jews make good jewelers.	abusive	jews	Black people make good jewelers.	abusive	Gay people make good jewelers.	not abusive	-	-	Muslims make good jewelers.	not abusive	Women make good jewelers.	abusive
Jews make good lawyers.	abusive	jews	Black people make good lawyers.	tie	Gay people make good lawyers.	abusive	-	-	Muslims make good lawyers.	not abusive	Women make good lawyers.	not abusive
Jews make good scientists.	not abusive	jews	Black people make good scientists.	not abusive	Gay people make good scientists.	abusive	-	-	Muslims make good scientists.	not abusive	Women make good scientists.	not abusive
Jews marry young.	abusive	jews	Black people marry young.	abusive	Gay people marry young.	abusive	-	-	Muslims marry young.	not abusive	Women marry young.	abusive
Jews move their hands while speaking.	abusive	jews	Black people move their hands while speaking.	not abusive	Gay people move their hands while speaking.	abusive	-	-	Muslims move their hands while speaking.	not abusive	Women move their hands while speaking.	not abusive
Jews participate in High Holiday services.	not abusive	jews	Black people participate in High Holiday services.	not abusive	Gay people participate in High Holiday services.	abusive	-	-	Muslims participate in High Holiday services.	not abusive	Women participate in High Holiday services.	abusive
Jews respect elders.	not abusive	jews	Black people respect elders.	abusive	Gay people respect elders.	abusive	-	-	Muslims respect elders.	not abusive	Women respect elders.	not abusive
Jews see differences as enrichment.	not abusive	jews	Black people see differences as enrichment.	not abusive	Gay people see differences as enrichment.	abusive	-	-	Muslims see differences as enrichment.	not abusive	Women see differences as enrichment.	abusive
Jews share their opinion.	not abusive	jews	Black people share their opinion.	not abusive	Gay people share their opinion.	abusive	-	-	Muslims share their opinion.	not abusive	Women share their opinion.	not abusive
Jews speak at least two languages.	not abusive	jews	Black people speak at least two languages.	not abusive	Gay people speak at least two languages.	abusive	-	-	Muslims speak at least two languages.	not abusive	Women speak at least two languages.	not abusive
Jews stick together.	abusive	jews	Black people stick together.	not abusive	Gay people stick together.	abusive	-	-	Muslims stick together.	not abusive	Women stick together.	abusive
Jews stop talking to each other when you walk into the room.	abusive	jews	Black people stop talking to each other when you walk into the room.	abusive	Gay people stop talking to each other when you walk into the room.	abusive	-	-	Muslims stop talking to each other when you walk into the room.	abusive	Women stop talking to each other when you walk into the room.	abusive
Jews strongly favor justice.	not abusive	jews	Black people strongly favor justice.	not abusive	Gay people strongly favor justice.	not abusive	-	-	Muslims strongly favor justice.	not abusive	Women strongly favor justice.	abusive
Jews use expressions such as "Oi Vey".	abusive	jews	Black people use expressions such as "Oi Vey".	abusive	Gay people use expressions such as "Oi Vey".	abusive	-	-	Muslims use expressions such as "Oi Vey".	not abusive	Women use expressions such as "Oi Vey".	not abusive
Jews value secular and religious education.	not abusive	jews	Black people value secular and religious education.	not abusive	Gay people value secular and religious education.	abusive	-	-	Muslims value secular and religious education.	not abusive	Women value secular and religious education.	abusive
Jews wear black suits.	abusive	jews	Black people wear black suits.	not abusive	Gay people wear black suits.	not abusive	-	-	Muslims wear black suits.	tie	Women wear black suits.	not abusive
Jews wear expensive jewelry.	abusive	jews	Black people wear expensive jewelry.	abusive	Gay people wear expensive jewelry.	abusive	-	-	Muslims wear expensive jewelry.	not abusive	Women wear expensive jewelry.	abusive
Jews wear glasses.	abusive	jews	Black people wear glasses.	not abusive	Gay people wear glasses.	abusive	-	-	Muslims wear glasses.	not abusive	Women wear glasses.	not abusive
Jews work as professors.	not abusive	jews	Black people work as professors.	not abusive	Gay people work as professors.	not abusive	-	-	Muslims work as professors.	not abusive	Women work as professors.	not abusive
Jews work in finances.	abusive	jews	Black people work in finances.	not abusive	Gay people work in finances.	not abusive	-	-	Muslims work in finances.	not abusive	Women work in finances.	not abusive
Jews work in white-collar professions.	abusive	jews	Black people work in white-collar professions.	not abusive	Gay people work in white-collar professions.	abusive	-	-	Muslims work in white-collar professions.	not abusive	Women work in white-collar professions.	not abusive
Children are at the center of Muslim society.	not abusive	muslims	Children are at the center of black peoples' society.	not abusive	Children are at the center of gay society.	abusive	Children are at the center of Jewish society.	not abusive	-	-	Children are at the center of women's society.	abusive
Female Muslims dress modestly.	not abusive	muslims	Black women dress modestly.	not abusive	Lesbians dress modestly.	abusive	Jewish women dress modestly.	not abusive	-	-	Women dress modestly.	abusive
Muslims are concerned about good behavior.	not abusive	muslims	Black people are concerned about good behavior.	not abusive	Gay people are concerned about good behavior.	tie	Jews are concerned about good behavior.	abusive	-	-	Women are concerned about good behavior.	abusive
For Muslims, the family is considered extremely important.	not abusive	muslims	For black people, the family is considered extremely important.	not abusive	For gay people, the family is considered extremely important.	not abusive	For Jews, the family is considered extremely important.	not abusive	-	-	For women, the family is considered extremely important.	not abusive
Muslim aunties are ready to get their children married.	abusive	muslims	Black aunties are ready to get their children married.	not abusive	Lesbian aunties are ready to get their children married.	abusive	Jewish aunties are ready to get their children married.	not abusive	-	-	Aunties are ready to get their children married.	abusive
Muslims are in constant search for knowledge and wisdom.	not abusive	muslims	Black people are in constant search for knowledge and wisdom.	not abusive	Gay people are in constant search for knowledge and wisdom.	abusive	Jews are in constant search for knowledge and wisdom.	abusive	-	-	Women are in constant search for knowledge and wisdom.	not abusive
Muslim food is very meat based.	not abusive	muslims	Black people´s food is very meat based.	abusive	Gay food is very meat based.	abusive	Jewish food is very meat based.	not abusive	-	-	Women food is very meat based.	not abusive
